Type,Security,Price,Time,DayMovingAverage
Sell,TLSA,9.42,51:52.5,9.415821805
Sell,BBY,97.17,52:53.9,97.16384771
Buy,TLSA,9.365,54:57.1,9.415821805
Buy,BBY,97.1,55:58.7,97.16384771
Buy,ABUS,5.37,30:33.7,5.983312696
Buy,INTC,50.975,30:33.9,51.11287678
Buy,V,195.68,30:34.1,195.6887639
Buy,DOW,42.625,30:34.3,42.76077361
Buy,AXP,94.58,30:34.5,95.91544728
Buy,PG,125.87,30:34.7,125.9861251
Buy,LINC,5.6202,31:37.6,5.818487571
Buy,CAT,137.78,32:41.5,137.796519
Buy,GS,201.52,32:41.7,203.2911432
Buy,CSCO,46.48,32:41.9,46.80984067
Sell,DOW,42.85,33:44.8,42.76077361
Sell,PG,126.134,33:45.0,125.9861251
Buy,MMM,159.47,34:47.1,159.8913908
Buy,PG,125.95,35:48.5,125.9861251
Sell,CAT,137.91,36:50.6,137.796519
Buy,DOW,42.67,37:52.5,42.76077361
Buy,CAT,137.535,37:52.7,137.796519
Buy,AERI,12.23,38:54.9,12.25114149
Sell,AERI,12.29,39:56.7,12.25114149
Sell,MMM,160.06,39:57.0,159.8913908
Sell,CAT,137.8,39:57.2,137.796519
Sell,DOW,42.79,40:59.4,42.76077361
Sell,PG,126.085,42:01.1,125.9861251
Buy,PG,125.97,43:02.6,125.9861251
Sell,PG,126.0275,44:04.0,125.9861251
Sell,CSCO,46.82,52:16.2,46.80984067
Buy,CSCO,46.77,53:18.2,46.80984067
Sell,CSCO,46.825,54:19.9,46.80984067
Sell,V,195.71,55:21.5,195.6887639
Buy,CSCO,46.79,55:21.7,46.80984067
Sell,CSCO,46.817,57:25.8,46.80984067
Buy,XOM,43.55,01:31.9,43.55691684
Sell,XOM,43.57,02:33.8,43.55691684
Buy,XOM,43.54,03:35.5,43.55691684
Sell,XOM,43.57,04:37.1,43.55691684
Buy,CSCO,46.785,05:39.1,46.80984067
Buy,XOM,43.539,05:39.4,43.55691684
Sell,CSCO,46.815,06:40.8,46.80984067
Sell,XOM,43.602,06:41.1,43.55691684
Buy,CSCO,46.785,10:46.4,46.80984067
Buy,FE,29.07,14:52.5,29.09854897
Buy,AERI,12.25,16:55.6,12.25114149
Sell,GS,203.34,21:00.6,203.2911432
Buy,GS,203.24,27:09.7,203.2911432
Sell,GS,203.4,28:11.1,203.2911432
Buy,MSFT,201.05,29:12.6,201.225591
Sell,MSFT,201.25,32:17.2,201.225591
Sell,AERI,12.255,39:27.2,12.25114149
Buy,AERI,12.22,41:29.9,12.25114149
Sell,AERI,12.2599,42:31.3,12.25114149
Sell,FE,29.19,42:31.5,29.09854897
Buy,AERI,12.22,44:34.7,12.25114149
Buy,AAL,11.46,45:36.1,11.47905857
Buy,QH,7.92,45:36.3,7.946115179
Buy,FE,29.055,46:37.7,29.09854897
Sell,FE,29.19,48:40.2,29.09854897
Sell,QH,7.985,49:42.3,7.946115179
Sell,AAL,11.4858,50:43.6,11.47905857
Buy,AAL,11.4762,52:46.5,11.47905857
Sell,AAL,11.4801,54:49.1,11.47905857
Buy,AAL,11.465,55:50.5,11.47905857
Buy,QH,7.91,02:59.0,7.946115179
Sell,QH,8,04:00.5,7.946115179
Buy,QH,7.91,07:05.2,7.946115179
Sell,QH,7.99,10:08.9,7.946115179
Buy,CVX,90.65,16:16.7,90.95790963
